Link,Price,Model,Make,Year,Mileage,Steering Side,Seller Name,Trim,Regional Specs,Warranty,Exterior Color,Body Collection,Body Type,Mechanical Condition,Cylinder,Transmission Type,Horsepower,Fuel Type,Description
https://dubai.dubizzle.com/motors/used-cars/ford/expedition/2023/7/26/gcc-2018-xlt-4wd-v6-ecoboost-leather-seats-2-224---bc218cc1328946aab973c517a0db4f17//,"108,500 ",Expedition,Ford,2018,"98,285 km",Left Hand,N/A,XLT,GCC Specs,Yes,Grey,Perfect inside and out,SUV,Perfect inside and out,6,Automatic Transmission,300 - 400 HP,Petrol,"['REFERENCE #: VE3511 ', 'BRANCH ALLOCATED STOCKS: ']"
https://dubai.dubizzle.com/motors/used-cars/lexus/lx-series/2023/7/13/lexus-lx570-57-l-signature-2105029-2-704---e5e6b4a1ac5b414d80aca5950e62f474//,"339,990 ",LX-Series,Lexus,2019,"120,502 km",Left Hand,Al Futtaim Automall,Other,GCC Specs,Yes,Beige,Perfect inside and out,SUV,Perfect inside and out,8,Automatic Transmission,200 - 300 HP,Petrol,"['INTERNAL NUMBER: 2105029 ', 'This car comes with a comprehensive warranty and full history with no major accidents or repair. ']"
https://dubai.dubizzle.com/motors/used-cars/audi/a8/2023/7/13/audi-a8l-30-l-tfsi-2807801-2-730---49198e229bbd43a6ba851101560749ee//,"229,995 ",A8,Audi,2020,"74,273 km",Left Hand,Al Futtaim Automall,Other,GCC Specs,Yes,White,Perfect inside and out,Sedan,Perfect inside and out,6,Automatic Transmission,200 - 300 HP,Petrol,"['INTERNAL NUMBER: 2807801 ', 'This car comes with a comprehensive warranty and full history with no major accidents or repair. ']"
https://dubai.dubizzle.com/motors/used-cars/bmw/x7/2023/7/17/bmw-x7-30-msport-luxury-2-836---623a0cb5df2945eb8584e77f8ba499f5//,"389,995 ",X7,BMW,2022,"33,343 km",Right Hand,Al Futtaim Automall,xDrive50i Exclusive,GCC Specs,Yes,Grey,Perfect inside and out,SUV,Perfect inside and out,6,Automatic Transmission,400 - 500 HP,Petrol,"['This car comes with a comprehensive warranty for 12 months/20000 kms* and full history with no major accidents or repair. ', '•This car is GCC specifications & mileage certified. ']"
https://dubai.dubizzle.com/motors/used-cars/bmw/5-series/2023/7/18/bmw-520i-20l-executive2821815-2-695---9bb5ec1fa28140819ce6b1f324e680be//,"179,990 ",5-Series,BMW,2020,"22,034 km",Left Hand,Al Futtaim Automall,520i Executive,GCC Specs,Yes,Silver,Perfect inside and out,Sedan,Perfect inside and out,6,Automatic Transmission,200 - 300 HP,Petrol,"['This car comes with a comprehensive warranty for 12 months/20000 kms* and full history with no major accidents or repair. ', '•This car is GCC specifications & mileage certified. ']"
https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/e-class/2023/7/18/mercedes-benz-e300amg-20l-2021ym2817529-2-021---86a6f00205844745a86dc0353216c411//,"264,990 ",E-Class,Mercedes-Benz,2021,"58,498 km",Left Hand,Al Futtaim Automall,E 300,GCC Specs,Yes,White,Perfect inside and out,Sedan,Perfect inside and out,4,Automatic Transmission,300 - 400 HP,Petrol,"['This car comes with a comprehensive warranty for 12 months/20000 kms* and full history with no major accidents or repair. ', '•This car is GCC specifications & mileage certified. ']"
https://dubai.dubizzle.com/motors/used-cars/bmw/2-series/2023/7/18/bmw-218i-msport-2-224---266d7379c4bc4e478551a5976d0b93e7//,"179,990 ",2-Series,BMW,2021,"45,631 km",Left Hand,Al Futtaim Automall,218i,GCC Specs,Yes,White,Perfect inside and out,Sedan,Perfect inside and out,3,Automatic Transmission,300 - 400 HP,Petrol,"['This car comes with a comprehensive warranty for 12 months/20000 kms* and full history with no major accidents or repair. ', '•This car is GCC specifications & mileage certified. ']"
https://dubai.dubizzle.com/motors/used-cars/gmc/sierra/2023/7/18/gmc-sierra-53l-sle-2022-ym2841068-2-300---58157e3d315e42e699b187e824ad65ae//,"189,990 ",Sierra,GMC,2022,"37,970 km",Left Hand,Al Futtaim Automall,1500,GCC Specs,Yes,White,Perfect inside and out,Utility Truck,Perfect inside and out,8,Automatic Transmission,400 - 500 HP,Petrol,"['This car comes with a comprehensive warranty for 12 months/20000 kms* and full history with no major accidents or repair. ', '•This car is GCC specifications & mileage certified. ']"
https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/cls-class/2023/7/18/mercedes-cls350-amg-2021ym2834956-2-532---6c8201847f424d9880faf62955c71d8d//,"299,990 ",CLS-Class,Mercedes-Benz,2021,"73,366 km",Left Hand,Al Futtaim Automall,CLS 350,GCC Specs,Yes,White,Perfect inside and out,Sedan,Perfect inside and out,4,Automatic Transmission,300 - 400 HP,Petrol,"['This car comes with a comprehensive warranty for 12 months/20000 kms* and full history with no major accidents or repair. ', '•This car is GCC specifications & mileage certified. ']"
https://dubai.dubizzle.com/motors/used-cars/bmw/x3/2023/7/24/bmw-x3-20-xdrive-2019ym2828977-2-272---0a67efba3937428eb39747153e213b86//,"189,990 ",X3,BMW,2019,"40,127 km",Left Hand,Al Futtaim Automall,Xdrive30i,GCC Specs,Yes,White,Perfect inside and out,SUV,Perfect inside and out,4,Automatic Transmission,200 - 300 HP,Petrol,"['This car comes with a comprehensive warranty for 12 months/20000 kms* and full history with no major accidents or repair. ', '•This car is GCC specifications & mileage certified. ']"
https://dubai.dubizzle.com/motors/used-cars/chevrolet/tahoe/2023/7/26/chevrolet-tahoe-53-lt-2021ym2830618-2-668---1c18bed6dc5e44d68e4fd48f98efd40b//,"184,990 ",Tahoe,Chevrolet,2021,"62,891 km",Left Hand,Al Futtaim Automall,LT,GCC Specs,No,Black,Perfect inside and out,SUV,Perfect inside and out,8,Automatic Transmission,400 - 500 HP,Petrol,"['This car comes with a comprehensive warranty for 12 months/20000 kms* and full history with no major accidents or repair. ', '•This car is GCC specifications & mileage certified. ']"
https://dubai.dubizzle.com/motors/used-cars/mini/cooper/2023/7/26/mini-cooper-s-20-l-jcw-2843012-2-259---51666e0d5c7e4a2e900eadc6febc2791//,"154,990 ",Cooper,MINI,2021,"21,848 km",Left Hand,Al Futtaim Automall,Cooper S,GCC Specs,Yes,White,Perfect inside and out,Hatchback,Perfect inside and out,4,Automatic Transmission,Unknown,Petrol,"['INTERNAL NUMBER: 2843012 ', 'This car comes with a comprehensive warranty and full history with no major accidents or repair. ']"
https://dubai.dubizzle.com/motors/used-cars/jaguar/e-pace/2023/7/26/jaguar-e-pace-20-l-p200-2843111-2-307---0b215fece40343b08f9892931e5f5398//,"154,990 ",E-Pace,Jaguar,2019,"42,378 km",Left Hand,Al Futtaim Automall,SE,GCC Specs,No,Grey,Perfect inside and out,SUV,Perfect inside and out,4,Automatic Transmission,Unknown,Petrol,"['INTERNAL NUMBER: 2843111 ', 'This car comes with a comprehensive warranty and full history with no major accidents or repair. ']"
https://dubai.dubizzle.com/motors/used-cars/bmw/x4/2023/8/2/bmw-x4-20-l-xdrive-2824117-2-306---4be2576a54844de2ba26863609862a05//,"249,990 ",X4,BMW,2021,"22,856 km",Left Hand,Al Futtaim Automall,xDrive 30i,GCC Specs,Yes,White,Perfect inside and out,SUV,Perfect inside and out,4,Automatic Transmission,Unknown,Petrol,"['INTERNAL NUMBER: 2824117 ', 'This car comes with a comprehensive warranty and full history with no major accidents or repair. ']"
https://dubai.dubizzle.com/motors/used-cars/nissan/patrol/2023/8/2/nissan-patrol-56-l-le-platinum-2589501-2-178---c601e791f60645efaa61c279ae707c70//,"269,990 ",Patrol,Nissan,2021,"52,744 km",Left Hand,Al Futtaim Automall,Nismo,GCC Specs,Yes,Teal,Perfect inside and out,SUV,Perfect inside and out,8,Automatic Transmission,Unknown,Petrol,"['INTERNAL NUMBER: 2589501 ', 'This car comes with a comprehensive warranty and full history with no major accidents or repair. ']"
